Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part
11,-118.61247951369822,35.95739742174823,-121.51091294108356,40.78390027634474, Oregon - Mount Washington Wilderness, McArthur-Burney Falls Memorial State Park,-121.39299,41.0148,You will here walk in Lassen Volcanic National Park. You walk between different Mountans and Peaks. This is a parth with various elevation  You will cross Pit River and come close to Burney Falls; which is 25 meter and defenitly a visit worth. Here You can find campsites and Rental Cabins,216 km,Part 11
12,-121.51091294108356,40.78390027634474,-121.19029640451627,40.30417049668985, Oregon - Timberline Lodge (Mount Hood),,,, You'll walk in Shasta-Trinity National Forrest and Lassen National Forrest. If the water level is high You need to cross several small creeks and streams  You'll walk through Castle Crags Wilderness and Castle Crags State Park. You will cross Burstarse Creek; Indidan Creek and Popcorn Spring during the trail  You will be able to see several peaks on this parth including: Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak and Mount Eddy,216 km,Part 12
13,-121.19029640451627,40.30417049668985,-120.91030887295013,41.42840721247105, Washington - Trout Lake (Mount Adams), Big Ridge ,-123.233783,41.660206, You will walk in Klamath National forres and Marble Mountain Wilderness. You climpe Big Ridge with the elevation of 2141meters  On this stretch you will pass through Seaid Wally and up over Kangaroo Mountain; Black Mountain and Observation Peak among others. A stretch with many meters of elevation gain,216 km,Part 13
14,-120.91030887295013,41.42840721247105,-118.1604600823428,36.32015035504447, Washington - Mount Rainier National Park, Mount McLoughlin;  Crater Lake ,-122.1352; -122.1037,42.3707; 42.9365, During this par of the trail You'll cross the border between California and Oregon  You will walk in The Sky Lakes Wilderness straddles southern Oregon's Cascade Range from Crater Lake National Park southward to Oregon Route 140. It is approximately 9.7 kmwide and 43 km long. Thelevations ranging from 1.200 m in the canyon of the Middle Fork of the Rogue River to 2.894 m at the top of Mount McLoughlin is the highest peak in southern Oregon  You will walk close by Crater Lake that is surrounded by several high points. This including Garfield Peak; Llao Rock and Grouse Hill,216 km,Part 14
15,-118.1604600823428,36.32015035504447,-117.39181055037557,35.04545112515402,Washington - Stevens Pass,Cowhorn Mountain,-122.5131,44.03736, On this part You walk in hilly terrain and pass Cowhorn Mountain which is  2336 meters high  In this Segment You will walk through Willamette National Forrest and Deschutes National Forrest and pass several lakes,216 km,Part 15
16,-117.39181055037557,35.04545112515402,-122.20602910308962,41.29436795384055,Washington - North Cascades National Park,The Tree Sisters;  Mount Hood,-121.5672,45.5381, On this part of the trail You walk past tree vulcanos that is caled The Tree Sisters. When You have Middel Sister and South sister on one side You will have the moutan The husband on the other side of you  On this part of the trial You will wlak in the National Park of Mount Hood  Mount Hood is also known as Wy'east. It is an active stratovolcano. The summit elavation is 3.429 meter and has glaciers all year,216 km,Part 16
17,-122.20602910308962,41.29436795384055,-120.9819730877649,44.47995183078953, Northern Washington & Canada Border - Pasayten Wilderness,Brigde of the Gods,-121.9179,45.6543, On this part You'll cross the Columbia River and also the border between Oregon and Washinton. On both sides You walk in forrest. This could be a good place to stock up as you come right through the town of Casade Locks which is the biggest city You will go through  Now You are walkning in Gifford Pinoct National Forrest. It contains over 1.3 milion acers of green forests soaring mountains; dewy meadows; and rapid streams,216 km,Part 17
18,-120.9819730877649,44.47995183078953,-121.60306592555304,42.04273334816745, Northern Washington & Canada Border - Windy Pass, Mount Adams;  Mount Rainer,-121.4879; -121.5672,46.2014; 45.5381, On this part You walk through the Mount Adams Wildersness; where the trail take you close to the mountan and the glacier  Mount Rainier is the most glaciated peak in the contiguous U.S.A.; spawning five major rivers. You will see subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainiers lower slopes You are walking in Norse Peak Wildernes,216 km,Part 18
19,-121.60306592555304,42.04273334816745,-117.70057740248964,35.63222932242936, Northern Washington & Canada Border - Manning Park (Canada), British Columbia,,, You go thrugh Snoqualmie is best known as the home of Snoqualmie Falls- a breathtaking waterfall cascading 81.6 meter over granite cliffs. Snoqualmie Falls is the second most visited natural landmark in Washington after Mount Rainier. It is more than twice as high as Niagara Falls!  You are walking in Alpine Lake Wildernes,216 km,Part 19
20,-117.70057740248964,35.63222932242936,-121.37948859999996,47.07913550000006, Northern Washington & Canada Border - Hope - British Columbia,,,, You are walking in the north and meeting several glaciers including Kennedy Peak and Glacier Peak  In theese segments the trail cover some of the most challenging and rewarding terrain of the PCT; culminating in the alpine glory of the North Cascades  This is the most northly part of the trail,216 km,Part 20
