Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,imagesPath,Description_new
11,-118.6124795,35.95739742,-121.5109129,40.78390028, Oregon - Mount Washington Wilderness, Lassen Peak is lava dome volcano in Lassen Volcanic National Park in Northern California.,-121.39299,41.0148,You will here walk in Lassen Volcanic National Park. You walk between different Mountans and Peaks. This is a parth with various elevation  You will cross Pit River and come close to Burney Falls; which is 25 meter and defenitly a visit worth. Here You can find campsites and Rental Cabins,216 km,Part 11, Images/Segment26.jpg,Navigate diverse volcanic landscapes in Lassen Volcanic National Park featuring Lassen Peak; one of the world's largest plug dome volcanoes; plus Brokeoff Mountain and Mount Harkness. Enjoy mixed forests; streams and meadows with abundant wildlife. Cross Pit River near 25-meter Burney Falls (worth visiting); which offers campsites and rental cabins. Experience rolling hills; dense forests and expansive meadows with views of Burney Mountain and convenient resupply opportunities.
12,-121.5109129,40.78390028,-121.1902964,40.3041705, Oregon - Timberline Lodge (Mount Hood),Stump Creek Butte is 1248 meters above sealevel,,, You'll walk in Shasta-Trinity National Forrest and Lassen National Forrest. If the water level is high You need to cross several small creeks and streams  You'll walk through Castle Crags Wilderness and Castle Crags State Park. You will cross Burstarse Creek; Indidan Creek and Popcorn Spring during the trail  You will be able to see several peaks on this parth including: Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak and Mount Eddy,216 km,Part 12, Images/Segment28.jpg,Traverse rugged mountainous terrain through Shasta-Trinity and Lassen National Forests marked by Grizzly Peak; Brushy Butte; and Tamarack Mountain. Cross Castle Crags Wilderness; Castle Crags State Park; and streams including Burstarse Creek; Indian Creek; and Popcorn Spring. The Sacramento River crossing occurs near Dunsmuir. View Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak; and Mount Eddy while experiencing diverse alpine forests and high mountain meadows.
13,-121.1902964,40.3041705,-120.9103089,41.42840721, Washington - Trout Lake (Mount Adams), Big Ridge with the elevation of 2141meters is one of the 18 peaks you climb during PCT,-123.233783,41.660206, You will walk in Klamath National forres and Marble Mountain Wilderness. You climpe Big Ridge with the elevation of 2141meters  On this stretch you will pass through Seaid Wally and up over Kangaroo Mountain; Black Mountain and Observation Peak among others. A stretch with many meters of elevation gain,216 km,Part 13, Images/Segment31.jpg,Journey through Klamath National Forest and Marble Mountain Wilderness with its vast rugged terrain. Climb Big Ridge (2;141 meters) and tackle significant elevation gains over Seiad Valley; Kangaroo Mountain; Black Mountain; and Observation Peak. The trail winds through remote areas between these mountains; providing immersive wilderness experiences combining natural beauty and solitude. Seiad Valley along the Klamath River serves as a notable resupply checkpoint.
14,-120.9103089,41.42840721,-118.1604601,36.32015036, Washington - Mount Rainier National Park,Sonora Peak is located on the boundary between Alpine and Mono counties it is 3494 meters above sealevel,-122.1352; -122.1037,42.3707; 42.9365, During this par of the trail You'll cross the border between California and Oregon  You will walk in The Sky Lakes Wilderness straddles southern Oregon's Cascade Range from Crater Lake National Park southward to Oregon Route 140. It is approximately 9.7 kmwide and 43 km long. Thelevations ranging from 1.200 m in the canyon of the Middle Fork of the Rogue River to 2.894 m at the top of Mount McLoughlin is the highest peak in southern Oregon  You will walk close by Crater Lake that is surrounded by several high points. This including Garfield Peak; Llao Rock and Grouse Hill,216 km,Part 14, Images/Segment20.jpg,Cross from California into Oregon through Sky Lakes Wilderness (9.7km wide; 43km long) with elevations from 1;200m to 2;894m at Mount McLoughlin; southern Oregon's highest peak. Visit Crater Lake National Park; created when a violent eruption collapsed a tall peak 7;700 years ago. As America's deepest and one of its purest lakes; it's surrounded by Garfield Peak; Llao Rock; and Grouse Hill.
15,-118.1604601,36.32015036,-117.3918106,35.04545113,Washington - Stevens Pass,Cowhorn Mountain the summit spire that led to its name collapsed in a storm in 1911,-122.5131,44.03736, On this part You walk in hilly terrain and pass Cowhorn Mountain which is  2336 meters high  In this Segment You will walk through Willamette National Forrest and Deschutes National Forrest and pass several lakes,216 km,Part 15, Images/Segment36.jpg,Hike hilly terrain past 2;336-meter Cowhorn Mountain through Willamette and Deschutes National Forests and several lakes. The path offers expansive views; lush forests and Diamond Peak's rugged slopes. Continue through Oregon's volcanic landscape passing the iconic Three Sisters volcanoes - North; Middle; and South Sister - with The Husband peak opposite. Traverse diverse ecosystems including alpine forests; lava fields; and wildflower meadows in Three Sisters Wilderness.
16,-117.3918106,35.04545113,-122.2060291,41.29436795,Washington - North Cascades National Park,Mount Jefferson is a vulcano the last eruptive about 15000 years ago.,-121.5672,45.5381, On this part of the trail You walk past tree vulcanos that is caled The Tree Sisters. When You have Middel Sister and South sister on one side You will have the moutan The husband on the other side of you  On this part of the trial You will wlak in the National Park of Mount Hood  Mount Hood is also known as Wy'east. It is an active stratovolcano. The summit elavation is 3.429 meter and has glaciers all year,216 km,Part 16, Images/Segment38.jpg,Pass Mount Jefferson Wilderness into Mount Washington Wilderness with its distinctive spire-like volcanic peak. Experience solitude through steep rocky ascents and serene forest walks with panoramic Cascade Range vistas. Continue past Olallie Butte overlooking numerous lakes and forests near Mount Jefferson. Approach Mount Hood (Wy'east); an active 3;429-meter stratovolcano with year-round glaciers - Oregon's highest peak; visible from Portland and surrounded by protected wilderness.
17,-122.2060291,41.29436795,-120.9819731,44.47995183, Northern Washington & Canada Border - Pasayten Wilderness,Brigde of the Gods is 565 meters long and spans the Columbia River between Cascade Locks in Oregon and Washington state ,-121.9179,45.6543, On this part You'll cross the Columbia River and also the border between Oregon and Washinton. On both sides You walk in forrest. This could be a good place to stock up as you come right through the town of Casade Locks which is the biggest city You will go through  Now You are walkning in Gifford Pinoct National Forrest. It contains over 1.3 milion acers of green forests soaring mountains; dewy meadows; and rapid streams,216 km,Part 17, Images/Segment41.jpg,Cross Columbia River between Oregon and Washington through Cascade Locks city - ideal for resupply. Enter Gifford Pinchot National Forest containing over 1.3 million acres of forests; mountains; meadows; and streams. Continue through Indian Heaven Wilderness with old-growth forests; alpine lakes; and vibrant wildflower meadows. Pass Sawtooth Mountain; Bird Mountain; and Lemel Rock; each providing unique vistas and wildlife viewing opportunities. The area displays striking autumn foliage.
18,-120.9819731,44.47995183,-121.6030659,42.04273335, Northern Washington & Canada Border - Windy Pass, Mount Adams is also known by some Native American tribes as Pahto or Klickitat and is an active stratovolcano,-121.4879; -121.5672,46.2014; 45.5381, On this part You walk through the Mount Adams Wildersness; where the trail take you close to the mountan and the glacier  Mount Rainier is the most glaciated peak in the contiguous U.S.A.; spawning five major rivers. You will see subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainiers lower slopes You are walking in Norse Peak Wildernes,216 km,Part 18, Images/Segment43.jpg,Traverse Mount Adams Wilderness near the mountain and glacier; then Goat Rock Wilderness near 2;494-meter Gilbert Peak - an eroded extinct stratovolcano with Meade and Conrad Glaciers. Continue through William O. Douglas and Norse Peak Wilderness areas near Mount Rainier; America's most glaciated peak. View subalpine wildflower meadows and ancient forests while passing Norse Peak; Crown Point; and Pigtail Peak. Visit Kelly Butte Lookout (1;640m) and Snoqualmie Pass (919m).
19,-121.6030659,42.04273335,-117.7005774,35.63222932, Northern Washington & Canada Border - Manning Park (Canada),Chimney Rock is 22355 meter above sealevel and is known for the two spikes,,, You go thrugh Snoqualmie is best known as the home of Snoqualmie Falls- a breathtaking waterfall cascading 81.6 meter over granite cliffs. Snoqualmie Falls is the second most visited natural landmark in Washington after Mount Rainier. It is more than twice as high as Niagara Falls!  You are walking in Alpine Lake Wildernes,216 km,Part 19, Images/Segment46.jpg,Hike through Snoqualmie area; home to Snoqualmie Falls - an 81.6-meter waterfall over granite cliffs and Washington's second most visited natural landmark after Mount Rainier. Navigate Alpine Lakes Wilderness with deep valleys; craggy peaks and numerous lakes. Continue through Henry M. Jackson Wilderness (41;803ha); created in 1984 and named after the Senator instrumental in designating Washington's wilderness areas. Pass near 2;260-meter Mount David in Glacier Peak Wilderness.
20,-117.7005774,35.63222932,-121.3794886,47.0791355, Northern Washington & Canada Border - Hope - British Columbia,Glacier Peak is a volcano formed during the Pleistocene epoch about one million years ago,,, You are walking in the north and meeting several glaciers including Kennedy Peak and Glacier Peak  In theese segments the trail cover some of the most challenging and rewarding terrain of the PCT; culminating in the alpine glory of the North Cascades  This is the most northly part of the trail,216 km,Part 20, Images/Segment48.jpg,Encounter Kennedy Peak and 3;213-meter Glacier Peak - Washington's fourth highest - featuring White Chuck; Kennedy; and Suiattle glaciers. Explore Glacier Peak Wilderness (229;075ha); established 1964; with steep terrain; old-growth forests; and alpine lakes. Pass near Bonanza Peak; Mount Fernow; and Lake Chelan National Recreation Area. View 2;393-meter Mount Winthrop in Okanogan County. Reach the Northern Terminus at the US-Canada border near Manning Park; marked by a wooden monument.
