Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,Description_new,imagesPath
11,-121.2857281,42.2562489,-121.3174455,42.14187776, Sierra Nevada & Northern California - Tuolumne Meadows,,,, You are walking in an area with many mountains. Some of the ones you can see on the trip are: Mount Withney; Mount Langley; Kern Peak; Cirque Peak,121.6 km,Part 11,Hike through breathtaking landscape dominated by Sierra Nevada's highest peaks. Encounter Mount Stanford and Mount Williamson offering challenging climbs and rewarding views. Continue to iconic Mount Whitney before descending toward Mount Langley and Cirque Peak; ending near Muah Mountain., Images/Segment15.jpg
12,-121.3174455,42.14187776,-119.3990414,42.26149933, Sierra Nevada & Northern California - Sonora Pass,,,, You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada  You are walking in an area with many mountains and you encounter many altitude differences at the same time there are many larger and smaller lakes,121.6 km,Part 12,Cross Inyo National Forest; spanning 265 kilometers near California-Nevada border covering 809;371 hectares on Sierra Nevada's eastern slope. Pass between Mount Clarence King; Acrodectes Peak; Mount Goddard; and Mount Darwin (4;218m). Navigate diverse landscapes with dramatic altitude changes around peaks like Bloody Mountain; Red Slate Mountain; and Seven Gables; with various lakes near Silver Peak and Mammoth Lakes., Images/Segment16.jpg
13,-119.3990414,42.26149933,-119.0765253,37.09358935, Sierra Nevada & Northern California - Donner Memorial State Park,,,, You walk in both Ansel Adams Wildernes and the great Yosemite National Park. It was first protected in 1864.Yosemite National Park is best known for its waterfalls but you can find deep valleys and grand meadows as well,121.6 km,Part 13,Explore Ansel Adams Wilderness and Yosemite National Park; protected since 1864. Experience pristine alpine scenery with peaks like Mount Ritter and Mount Lyell before entering Yosemite with its biodiversity; waterfalls; valleys; meadows; and ancient sequoias. Key landmarks include Mount Dana and Clouds Rest offering expansive views of American wilderness., Images/Segment18.jpg
14,-119.0765253,37.09358935,-121.6728243,41.25952485, Sierra Nevada & Northern California - Feather River,,,, As the trail moves northward; it traverses the lush forests of Northern California; with a mix of steep inclines and dense woodland  During this par of the trail You'll cross the border between California and Oregon,121.6 km,Part 14,Journey through northern Yosemite and Hoover Wilderness with lush forests; challenging terrain; and dense woodlands. Trail offers tranquility and diverse wildlife encounters with varying elevations providing adventure and scenic variety. Navigate Carson-Iceberg Wilderness passing Highland Peak; Whitecliff Peak; Sonora Peak; and Leavitt Peak; featuring rugged terrain; glacial remnants; dense conifer forests; and various waterways., Images/Segment19.jpg
15,-121.6728243,41.25952485,-117.2147623,33.88942411, Oregon - Ashland,,,,It is a varied terrain with both forest and desert  and you will pass by a lot of large and small lakes,121.6 km,Part 15,The trail around Lake Tahoe offers stunning landscapes through Lake Tahoe Basin Management Unit. Ascend toward Ralston Peak and Pyramid Peak for sweeping views of Lake Tahoe and dense forests. This section features breathtaking vistas and challenging hikes; attracting both experienced hikers and scenic seekers., Images/Segment21.jpg
16,-117.2147623,33.88942411,-120.5226685,39.03072402, Oregon - Crater Lake National Park,,,, You will walk in Donner Memorial State Park some of the parth. The very large Lake Tahoe is close by  the closest towns to the trail are Tahoe Pines; Homewood and Rubicon Bay,121.6 km,Part 16,Weave through rugged terrain near Lake Tahoe with scenic forest and mountain views. Notable peaks include Granite Chief and Tinker Knob; part of Tahoe Rim Trail. Nearby towns Truckee and Tahoe City offer amenities; historical charm; lakeside scenery; and resupply opportunities; blending wilderness hiking with community access., Images/Segment22.jpg
17,-120.5226685,39.03072402,-120.2526102,41.39648189, Oregon - Cowhorn Mountain, Love Falls,-120.6071599,39.5807332, You walk on the egde opf Sierra city. You need to cross North Yuba River and Haypress Creek. When Crossing North Yba Falls You walk very close to Love Falls  This is a hilly stretch where you also have to cross the Middle Fork Feather River,121.6 km,Part 17,Cross North Yuba River and Haypress Creek; passing near picturesque North Yuba Falls and Love Falls. Proximity to Sierra City provides civilization before returning to secluded Tahoe National Forest paths. Continue through Plumas National Forest with dense forests; mountainous vistas; and remote wilderness. The isolated trail offers peaceful retreat with rich biodiversity and passes near Quincy for resupply., Images/Segment23.jpg
18,-120.2526102,41.39648189,-118.6124795,35.95739742, Oregon - Three Sisters Wilderness, North Fork Feather River bridge,-121.2814,39.426, If You do the hole trail you are in this segment in the middel or half to reach your desination. You need to cross North Fork Feather River and Yellow Creek,121.6 km,Part 18,Marking trail midpoint; wind through northern California's Bucks Lake Wilderness with prominent peaks like Bald Eagle Mountain; Ben Lomond; and Snow Mountain. Trail crosses Highway 70 multiple times providing access points. Enjoy diverse landscapes including thick forests; rocky outcrops at Castle Rocks and Eagle Rocks; with wildlife viewing opportunities in less frequented Plumas National Forest areas., Images/Segment25.jpg
19,-118.6124795,35.95739742,-121.5109129,40.78390028, Oregon - Mount Washington Wilderness, McArthur-Burney Falls Memorial State Park,-121.39299,41.0148,You will here walk in Lassen Volcanic National Park. You walk between different Mountans and Peaks. This is a parth with various elevation  You will cross Pit River and come close to Burney Falls; which is 25 meter and defenitly a visit worth. Here You can find campsites and Rental Cabins,121.6 km,Part 19,Navigate diverse volcanic landscapes featuring Lassen Peak; one of the world's largest plug dome volcanoes. Trail skirts Brokeoff Mountain and Mount Harkness; offering educational opportunities amid streams and meadows with diverse wildlife. Cross Pit River with stunning views near Burney Mountain and 25-meter Burney Falls; where campsites and rental cabins are available., Images/Segment26.jpg
20,-121.5109129,40.78390028,-118.1873901,35.9816611, Oregon - Timberline Lodge (Mount Hood),,,, You'll walk in Shasta-Trinity National Forrest and Lassen National Forrest. If the water level is high You need to cross several small creeks and streams,121.6 km,Part 20,Traverse rugged mountainous terrain marked by Grizzly Peak; Brushy Butte; and Tamarack Mountain through Shasta-Trinity and Lassen National Forests. Experience steep climbs and descents with dense forests and clearings offering scenic vistas and wildlife observation. Cross several small creeks and streams when water levels are high., Images/Segment28.jpg
21,-118.1873901,35.9816611,-121.1902964,40.3041705, Oregon - Bridge of the Gods (Columbia River Gorge),,,, You'll walk through Castle Crags Wilderness and Castle Crags State Park. You will cross Burstarse Creek; Indidan Creek and Popcorn Spring during the trail  You will be able to see several peaks on this parth including: Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak and Mount Eddy,121.6 km,Part 21,Hike through Castle Crags Wilderness and State Park; crossing Burstarse Creek; Indian Creek; and Popcorn Spring. The trail crosses Sacramento River near Dunsmuir. View peaks including Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak; and Mount Eddy within Shasta-Trinity National Forest; California's largest at 3;333.87 km_., Images/Segment29.jpg
22,-121.1902964,40.3041705,-121.3046789,41.5344634, Washington - Trout Lake (Mount Adams), Big Ridge ,-123.233783,41.660206, You will walk in Klamath National forres and Marble Mountain Wilderness. You climpe Big Ridge with the elevation of 2141meters,121.6 km,Part 22,Venture through expansive; rugged terrains of Klamath National Forest and Marble Mountain Wilderness; known for dramatic landscapes. Climb Big Ridge (2;141m) experiencing vast wilderness areas and challenging elevation gains., Images/Segment31.jpg
23,-121.3046789,41.5344634,-120.9103089,41.42840721, Washington - Goat Rocks Wilderness,,,, On this stretch you will pass through Seaid Wally and up over Kangaroo Mountain; Black Mountain and Observation Peak among others. A stretch with many meters of elevation gain,121.6 km,Part 23,Pass through Seiad Valley and climb Kangaroo Mountain; Black Mountain; and Observation Peak with significant elevation gains rewarded by breathtaking views. Traverse remote areas between mountains for an immersive wilderness experience through diverse landscapes from dense forests to rocky outcrops. Seiad Valley along Klamath River offers resupply opportunities., Images/Segment32.jpg
24,-120.9103089,41.42840721,-121.0415434,43.73876335, Washington - Mount Rainier National Park, Mount McLoughlin,-122.1352,42.3707, During this par of the trail You'll cross the border between California and Oregon  You will walk in The Sky Lakes Wilderness straddles southern Oregon's Cascade Range from Crater Lake National Park southward to Oregon Route 140. It is approximately 9.7 kmwide and 43 km long. Thelevations ranging from 1.200 m in the canyon of the Middle Fork of the Rogue River to 2.894 m at the top of Mount McLoughlin is the highest peak in southern Oregon,121.6 km,Part 24,Walk through Sky Lakes Wilderness spanning 9.7km wide and 43km long in Oregon's Cascade Range from Crater Lake National Park to Oregon Route 140. Experience elevations from 1;200m at Middle Fork Rogue River to 2;894m at Mount McLoughlin; southern Oregon's highest peak., Images/Segment20.jpg
25,-121.0415434,43.73876335,-118.1604601,36.32015036,Washington - Snoqualmie Pass, Crater Lake ,-122.1037,42.9365, You will walk close by Crater Lake that is surrounded by several high points. This including Garfield Peak; Llao Rock and Grouse Hill,121.6 km,Part 25,Walk near Crater Lake surrounded by Garfield Peak; Llao Rock; and Grouse Hill. Explore Crater Lake National Park; established 1902 as Oregon's only national park and America's fifth-oldest. This pristine lake formed 7;700 years ago when violent eruption collapsed a tall peak; creating America's deepest lake atop the Cascade Mountain Range., Images/Segment35.jpg
26,-118.1604601,36.32015036,-117.3918106,35.04545113,Washington - Stevens Pass,Cowhorn Mountain,-122.5131,44.03736, On this part You walk in hilly terrain and pass Cowhorn Mountain which is  2336 meters high  In this Segment You will walk through Willamette National Forrest and Deschutes National Forrest and pass several lakes,121.6 km,Part 26,Hike hilly terrain passing 2;336m Cowhorn Mountain through Willamette and Deschutes National Forests. Trail offers expansive views; lush forests; rugged slopes around Diamond Peak; and several lakes for camping. Pass iconic Three Sisters volcanoes with North; Middle; and South Sister creating dramatic skyline alongside The Husband peak., Images/Segment36.jpg
27,-117.3918106,35.04545113,-120.9097673,47.48759545,Washington - North Cascades National Park,The Tree Sisters,,, On this part of the trail You walk past tree vulcanos that is caled The Tree Sisters. When You have Middel Sister and South sister on one side You will have the moutan The husband on the other side of you,121.6 km,Part 27,Traverse Mount Jefferson and Mount Washington Wilderness areas with rugged terrain and volcanic features. Mount Washington features a distinctive spire-like top in a less crowded area offering solitude. Experience steep rocky ascents; serene forest walks; wildlife viewing; and panoramic Cascade Range vistas combining physical challenges with natural beauty., Images/Segment38.jpg
28,-120.9097673,47.48759545,-122.2060291,41.29436795,Washington - Stehekin (Lake Chelan), Mount Hood,-121.5672,45.5381, On this part of the trial You will wlak in the National Park of Mount Hood  Mount Hood is also known as Wy'east. It is an active stratovolcano. The summit elavation is 3.429 meter and has glaciers all year,121.6 km,Part 28,Wind through Oregon's buttes and Clackamas Wilderness passing Olallie Butte overlooking numerous lakes and forests near Mount Jefferson. Continue to Mount Hood (Wy'east); Oregon's highest peak at 3;429m with year-round glaciers. Explore Mount Hood Wilderness with alpine meadows; streams; old-growth forests; and extensive trail networks including Pacific Crest Trail section., Images/Segment39.jpg
29,-122.2060291,41.29436795,-120.7729367,39.9237451, Northern Washington & Canada Border - Pasayten Wilderness,Brigde of the Gods,-121.9179,45.6543, On this part You'll cross the Columbia River and also the border between Oregon and Washinton. On both sides You walk in forrest. This could be a good place to stock up as you come right through the town of Casade Locks which is the biggest city You will go through,121.6 km,Part 29,Cross Columbia River and Oregon-Washington border through forested areas. Pass through Cascade Locks; the largest city on the trail; offering excellent resupply opportunities before continuing your journey., Images/Segment41.jpg
30,-120.7729367,39.9237451,-120.9819731,44.47995183,Northern Washington & Canada Border - Holman Pass,,,, Now You are walkning in Gifford Pinoct National Forrest. It contains over 1.3 milion acers of green forests soaring mountains; dewy meadows; and rapid streams,121.6 km,Part 30,Journey through Indian Heaven Wilderness with old-growth forests; alpine lakes; and vibrant wildflower meadows within Gifford Pinchot National Forest's 1.3 million acres. Pass Sawtooth Mountain; Bird Mountain; and Lemel Rock with unique vistas and wildlife viewing. Area features spectacular autumn colors with brilliant orange; red; and yellow foliage., Images/Segment42.jpg
31,-120.9819731,44.47995183,-118.7406261,35.49817852, Northern Washington & Canada Border - Windy Pass, Mount Adams;  Mount Rainer,-121.4879; -121.5672,46.2014; 45.5381, On this part You walk through the Mount Adams Wildersness; where the trail take you close to the mountan and the glacier  Mount Rainier is the most glaciated peak in the contiguous U.S.A.; spawning five major rivers. You will see subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainiers lower slopes,121.6 km,Part 31,Traverse Mount Adams Wilderness near the mountain and glacier; through Goat Rocks Wilderness and Gilbert Peak (2;494m); highest summit of eroded extinct stratovolcano with Meade and Conrad Glaciers. Continue through William O. Douglas and Norse Peak Wilderness areas near Mount Rainier with expansive ice fields; wildflower meadows; and ancient forests., Images/Segment43.jpg
32,-118.7406261,35.49817852,-121.6030659,42.04273335, Northern Washington & Canada Border - Monument 78 (Canada Border) ,,,,You are walking in Norse Peak Wildernes,121.6 km,Part 32,Visit Kelly Butte Lookout (1;640m) for panoramic Central Cascades views; originally built 1920s and reconstructed 1950s. Cross Snoqualmie Pass (919m); vital Cascade Range mountain pass 50 miles east of Seattle carrying Interstate 90 through the mountains., Images/Segment45.jpg
33,-121.6030659,42.04273335,-117.7005774,35.63222932, Northern Washington & Canada Border - Manning Park (Canada), British Columbia,,, You go thrugh Snoqualmie is best known as the home of Snoqualmie Falls- a breathtaking waterfall cascading 81.6 meter over granite cliffs. Snoqualmie Falls is the second most visited natural landmark in Washington after Mount Rainier. It is more than twice as high as Niagara Falls!  You are walking in Alpine Lake Wildernes,121.6 km,Part 33,Traverse Alpine Lakes Wilderness with rugged terrain; deep valleys; craggy peaks; and numerous alpine lakes. Key features include challenging climbs and scenic Chimney Rock. Continue through Henry M. Jackson Wilderness (41;803ha) created by 1984 Washington Wilderness Act with steep slopes; finger ridges; and drainages flowing to Sauk and Skykomish Rivers., Images/Segment46.jpg
34,-117.7005774,35.63222932,-117.7006807,35.68607544, Northern Washington & Canada Border - Hope - British Columbia,,,, You are walking in the north and meeting several glaciers including Kennedy Peak and Glacier Peak,121.6 km,Part 34,Encounter Kennedy Peak and Glacier Peak (3;213m); Washington's fourth highest with White Chuck; Kennedy; and Suiattle glaciers. Surrounding Glacier Peak Wilderness spans 229;075ha (established 1964) with steep terrain; old-growth forests; and alpine lakes protecting Sauk; Suiattle; and White Chuck Rivers with minimal human disturbance., Images/Segment48.jpg
35,-117.7006807,35.68607544,-121.3794886,47.0791355, Northern Washington & Canada Border - Fraser Valley ,,,, In theese segments the trail cover some of the most challenging and rewarding terrain of the PCT; culminating in the alpine glory of the North Cascades  This is the most northly part of the trail,121.6 km,Part 35,Experience challenging terrain through high alpine peaks and remote wilderness near Bonanza Peak; Mount Fernow; and Lake Chelan National Recreation Area. Encounter significant elevation changes passing Goode Mountain and Black Peak. View 2;393m Mount Winthrop before reaching Northern Terminus at US-Canada border near Manning Park; marked by wooden monument culminating 4;690km journey., Images/Segment49.jpg
