Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude, Location, Landmarks,Landmark long, Landmark lat, Description_new,Distance (km),Part, imagesPath,Description
11,-120.9779288,39.8078156,-120.3586733,45.08212134, Sierra Nevada in California through Kennedy Meadow, Double Mountain is the highest point in the Tehachapi Mountains of California.,-118.4867,35.0333, This part of the trail is hilly and you will need to cross several small creeks. You will see Double Mountain has two summits of nearly the same elevation. It is south of the town of Tehachapi. You come close to the city Mojave which is a city in the dessert. The town of Mojave began in 1876 as a construction camp on the Southern Pacific Railroad. From 1884 to 1889 the town was the western terminus of the 266 km twenty-mule team at Harmony Borax Works in Death Valley. It later served as headquarters for construction of the Los Angeles Aqueduct.,83.2 km, Segment 11/50 , Images/Segment11.jpg, This part of the trail is hilly and you will need to cross several small creeks
12,-120.3586733,45.08212134,-121.7016886,42.68975638, Sierra Nevada in California & Oakley Ridge,Piute Peak mountain range located in the Eastern Mojave Desert and within Mojave Trails National Monument. it is 2573 meters high,-118.767,37.3681,As you hike this section of the Pacific Crest Trail you'll first ascend Welden Peak offering expansive views from the summit. The trail then winds between Piute Peak and Sorrell Peak showcasing diverse vegetation and geological features. Continuing on you'll skirt the edge of Pinyon Mountain where alpine landscapes blend with dense pinyon pine forests. This slightly challenging section provides a unique,83.2 km, Segment 12/50, Images/Segment12.jpg, You will both walk in hilly terran and forretes
13,-121.7016886,42.68975638,-118.1548683,35.14989535, Sierra Nevada in California through Kiawah Wildernes, Kiawah Wilderness is renowned for its natural beauty and abundant wildlife,,, As you hike this section of the Pacific Crest Trail you begin by ascending Weldon Peak and continue through a corridor nestled between Piute Peak and Sorrell Peak. The trail then skirts the edge of Pinyon Mountain leading you to the distinctive jagged summit of Sawtooth Peak. This path traverses through three wilderness areas: Owens Peak Wilderness; Kiavah Wilderness and Domeland Wilderness. Each offers unique landscapes and ecosystems from rugged mountainous terrains to intricate rock formations and expansive forested areas. These protected regions are rich in biodiversity and provide a pristine untouched environment making every step a chance for a unique and memorable experience in the heart of nature.,83.2 km, Segment 13/50 , Images/Segment13.jpg, You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince
14,-118.1548683,35.14989535,-121.2857281,42.2562489,Sierra Nevada in  California through South Sierra Wilderness,Olancha Peak rises 3698 meter above the sealevel,-118.0705,36.1555,TThis section of the Pacific Crest Trail offers an immersive experience through the South Sierra Wilderness. You're surrounded by dramatic peaks including Rockhouse Peak Ball Mountain Bald Mountain and Olancha Peak creating a spectacular panorama of rugged landscapes. The trail winds through diverse terrains with each peak providing a unique backdrop. The area is known for its remote beauty and solitude allowing for profound connections with nature. You are enveloped by towering mountains and serene wilderness creating a majestic hiking experience.,83.2 km, Segment 14/50, Images/Segment14.jpg, You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way
15,-121.2857281,42.2562489,-121.3174455,42.14187776, Sierra Nevada in California and Alabama Hills, Mount Clarens King raises 3922 meter and 350 from the surrounding terrain,-118.4465,36.8336,The path carves through a breathtaking landscape dominated by some of the highest peaks in the Sierra Nevada. Starting from the north you encounter Mount Stanford and Mount Williamson which stand as towering sentinels over the trail offering challenging climbs and rewarding views. The trail continues to wind its way south leading you to the iconic Mount Whitney. The trail descends slightly towards Mount Langley and Cirque Peak.This offering a somewhat gentler terrain before it culminates near Muah Mountain.,83.2 km, Segment 15/50, Images/Segment15.jpg, You are walking in an area with many mountains. Some of the ones you can see on the trip are: Mount Withney; Mount Langley; Kern Peak; Cirque Peak
16,-121.3174455,42.14187776,-120.0047009,40.98451283, Sierra Nevada in California,Mount Whitney is the highest summit in the contiguous United States which provides a spectacular highlight,-118.1731,36.3443, You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada. You come inbetween Mount Clarience King; Acrodectes Peak; Mount Goddard and Mount Darwin. Mount Darwin is a flat-topped mountain (4218 meters high) in the Sierra Nevada on the border of between Fresno and Inyo counties in Kings Canyon National Park and the John Muir Wilderness of California. ,83.2 km, Segment 16/50, Images/Segment16.jpg, You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada
17,-120.0047009,40.98451283,-119.3990414,42.26149933, Sierra Nevada in  California and Mammoth Lakes,Bear Creek Spire is the 46th highest mountain in California and is 4184 meter above sealevel,-118.767,37.3681, In this segment of the Pacific Crest Trail you navigate a diverse Sierra Nevada landscape with dramatic altitude changes around peaks like Bloody Mountain Red Slate Mountain Mount Morgan Bear Creek Spire and Seven Gables. You'll encounter various lakes near Silver Peak and Mammoth Lakes offering serene vistas and tranquil surroundings. The trail combines high peaks and water bodies creating a dynamic and challenging hiking experience with opportunities for photography wildlife observation and solitude. ,83.2 km, Segment 17/50, Images/Segment17.jpg, You are walking in an area with many mountains and you encounter many altitude differences at the same time there are many larger and smaller lakes
18,-119.3990414,42.26149933,-119.0765253,37.09358935, California & Yosemita Natianal Park ,Mount Ritter is 4008 meter above sealevel and was named by Josiah Whitney chief of California geological survey ,-119.1999,37.6895,Traverse the Ansel Adams Wilderness and Yosemite National Park blending rugged terrain with iconic beauty. Begin in the Ansel Adams Wilderness named after the famed photographer and explore pristine alpine scenery with peaks like Mount Ritter and Mount Lyell. Experience seclusion and untouched nature before entering Yosemite National Park known for its biodiversity and geological wonders. Enjoy stunning waterfalls -  deep valleys -  grand meadows and ancient sequoias. Key landmarks include Mount Dana and Clouds Rest offering expansive views. This journey connects you with nature and offers a historical perspective encapsulating the essence of American wilderness and conservation.,83.2 km, Segment 18/50, Images/Segment18.jpg, You walk in both Ansel Adams Wildernes and the great Yosemite National Park. It was first protected in 1864.Yosemite National Park is best known for its waterfalls but you can find deep valleys and grand meadows as well
19,-119.0765253,37.09358935,-120.5819857,46.36160795, California & Hoover Wilderness ,Tower Peak is 3583 meter above sealevel and it is to the south of the summit is Yosemite National Park,-119.3252,38.084,You walk through the northern expanse of Yosemite Wilderness and into the Hoover Wilderness. The trail takes hikers through lush forests and challenging terrain with steep inclines and rugged paths. It winds through dense woodlands with towering trees and cool shade interspersed with clearings and views of distant peaks like Tower Peak. This part of the trail offers a deep backcountry experience with a physically demanding journey rewarding hikers with solitude tranquility and diverse wildlife encounters. The varying elevation provides exhilarating climbs and descents adding adventure and scenic variety ,83.2 km, Segment 19/50, Images/Segment19.jpg, As the trail moves northward; it traverses the lush forests of Northern California; with a mix of steep inclines and dense woodland
20,-120.5819857,46.36160795,-121.6728243,41.25952485,  California through Carson-Iceberg Wilderness ,Sonora Peak is located on the boundary between Alpine and Mono counties it is 3494 meters above sealevel,-119.6355,38.3538, This path navigates through an impressive section of the Sierra Nevada marked by the Carson-Iceberg Wilderness and notable peaks such as Highland Peak Whitecliff Peak Sonora Peak and Leavitt Peak. This stretch features rugged terrain dramatic elevations and the stark beauty of the Sierra's eastern slope. The trail leads through the Carson-Iceberg Wilderness known for its rocky landscapes glacial ice remnants geological formations dense conifer forests and various waterways. Key points include Sonora Peak and Leavitt Peak offering challenging hikes and breathtaking summit views. These peaks are popular for high-altitude trekking in less trafficked parts of the Sierra Nevada. ,83.2 km, Segment 20/50, Images/Segment20.jpg, During this par of the trail You'll cross the border between California and Oregon
21,-121.6728243,41.25952485,-117.2147623,33.88942411, Northern California  and Lake Tahoe,Pyramid Peak is 787 meter above the surrounding terrain ,-120.158,38.8443, The trail around Lake Tahoe offers a captivating journey through majestic landscapes including parts of the Lake Tahoe Basin Management Unit. It ascends towards Ralston Peak and Pyramid Peak providing sweeping views of Lake Tahoe and its dense forests. The area is renowned for its stunning natural beauty with towering peaks and lush valleys. This section of the Pacific Crest Trail is famous for its breathtaking vistas and challenging hikes attracting both seasoned hikers and those seeking scenic experiences. The proximity to Lake Tahoe also provides unique recreational opportunities. ,83.2 km, Segment 21/50, Images/Segment21.jpg,It is a varied terrain with both forest and desert  and you will pass by a lot of large and small lakes
22,-117.2147623,33.88942411,-120.5226685,39.03072402, Northern California and Lake Tahoe,Tinker Knob lies just off the PCT and raises 2728 meters above sealevel,-120.1706,39.1441, In this segment of the Pacific Crest Trail near Lake Tahoe the path weaves through rugged terrain with scenic views of forests and mountains. Notable peaks like Granite Chief and Tinker Knob enrich the journey part of the Tahoe Rim Trail. The trail is near the towns of Truckee and Tahoe City. Truckee offers amenities and historical charm while Tahoe City provides lakeside scenery and services making them important stops for resupply and relaxation. Lake Tahoe's proximity offers additional recreational opportunities blending wilderness hiking with community access.  ,83.2 km, Segment 22/50, Images/Segment22.jpg, You will walk in Donner Memorial State Park some of the parth. The very large Lake Tahoe is close by  the closest towns to the trail are Tahoe Pines; Homewood and Rubicon Bay
23,-120.5226685,39.03072402,-118.8112043,35.36068351, Northern California through Tahoe Natianal Forest, Love Falls is just a short hike from where the trail crosses Highway 49 traveling east of the quaint village of Sierra City,-120.6071599,39.5807332, The path requires crossings over the North Yuba River and Haypress Creek which present beautiful natural water features along the way.As you cross the North Yuba River you'll also come very close to the scenic North Yuba Falls and Love Falls—two of the area's highlights. These spots are popular with hikers for their picturesque views and the soothing sounds of cascading water. The proximity to Sierra City provides a touch of civilization before returning to the secluded paths of the Tahoe National Forest making this section a blend of natural beauty and accessible amenities.,83.2 km, Segment 23/50, Images/Segment23.jpg, You walk on the egde opf Sierra city. You need to cross North Yuba River and Haypress Creek. When Crossing North Yba Falls You walk very close to Love Falls
24,-118.8112043,35.36068351,-120.2526102,41.39648189, Northern California through Plumas National Forest, Mount Fillmore is a mountain in the Plumas National Forest,-120.85339,39.73054, This section of the Pacific Crest Trail takes hikers through the rugged terrain of the Plumas National Forest. The trail meanders through dense forests mountainous vistas and remote wilderness offering a serene and challenging hiking experience. As you journey through this part of the trail you are surrounded by the natural beauty of the Northern Sierra Nevada. The trail's path is relatively isolated offering a peaceful retreat from daily life. Hikers can enjoy the solitude and rich biodiversity of the region which includes various species of trees wildflowers and wildlife. The trail also passes near the town of Quincy a convenient point for resupply before continuing the trek through the expansive wilderness areas. This segment is ideal for those looking to immerse themselves in nature and experience the quiet majesty of the Sierra Nevada's less-traveled paths., 83.2 km, Segment 24/50, Images/Segment24.jpg, This is a hilly stretch where you also have to cross the Middle Fork Feather River
25,-120.2526102,41.39648189,-118.6124795,35.95739742, Northern California through Bucks Lake Wilderness , Butt Mountain is an old remnant of Yana Volcano ,-121.39,40.22, If You do the hole trail you are in this segment in the middel or half to reach your desination. winds through the picturesque northern California terrain featuring the Bucks Lake Wilderness and a series of prominent peaks and landscapes such as Bald Eagle Mountain; Ben Lomond and Snow Mountain. The trail crosses paths with Highway 70 multiple times providing accessible points for entry or exit. Hikers traveling through this area will enjoy diverse landscapes including thick forests rocky outcrops at Castle Rocks and Eagle Rocks and the serene beauty of the surrounding mountains. This region is particularly known for its scenic vistas and the opportunity to observe wildlife in its natural habitat. The proximity to various natural landmarks and the trail's path through less frequented areas of the Plumas National Forest make this a tranquil yet adventurous segment of the Pacific Crest Trail. ,83.2 km, Segment 25/50 , Images/Segment25.jpg, If You do the hole trail you are in this segment in the middel or half to reach your desination. You need to cross North Fork Feather River and Yellow Creek
26,-118.6124795,35.95739742,-117.0334928,34.41036697, Northern California through Lassen Volcanic National Park, Lassen Peak is lava dome volcano in Lassen Volcanic National Park in Northern California.,-121.504966,40.48816,The trail navigates through a diverse geological landscape highlighted by volcanic features and mountainous terrain. You wil from the rute see Lassen Peak one of the largest plug dome volcanoes in the world offering a unique backdrop and a prime example of volcanic activity. The trail also skirts around other notable volcanic features such as Brokeoff Mountain and Mount Harkness enhancing the trek with educational opportunities and stunning views. The path winds through areas lush with mixed forests; mountain streams and meadows providing varied ecosystem and the chance to see diverse wildlife. With the vulcanic landmarks and natural beauty this wil en rich the experice of the hike combined with phycical challenges. , 83.2 km, Segment 26/50 , Images/Segment26.jpg,You will here walk in Lassen Volcanic National Park. You walk between different Mountans and Peaks. This is a parth with various elevation
27,-117.0334928,34.41036697,-121.5109129,40.78390028,Northern California & Burney, Pit River Falls is so named because of the semi-subterranean permanent winter homes and large 'sweat houses' that the Pit River Tribe dug,-122.2214,40.4523, The trail provides hikers with a mixture of landscapes that include rolling hills - dense forests and expansive meadows with the river crossing adding a dynamic element to the journey. As the trail approaches and crosses the Pit River hikers are treated to stunning river views and the chance to experience one of Northern California's important waterways. The river area is a refreshing contrast to the surrounding dry and rugged terrain and offers a unique natural habitat teeming with wildlife. The trail also passes near Burney Mountain providing dramatic views and a challenging hiking experience. The proximity to Burney allows for convenient resupply opportunities before continuing the trek through the serene and less traveled paths of the region. , 83.2 km, Segment 27/50, Images/Segment27.jpg, You will cross Pit River and come close to Burney Falls; which is 25 meter and defenitly a visit worth. Here You can find campsites and Rental Cabins
28,-121.5109129,40.78390028,-118.1873901,35.9816611, Northern California thrugh Big Bend,Stump Creek Butte is 1248 meters above sealevel,-121.9499,41.0909,The path traverses through a rugged and mountainous area marked by notable peaks such as Grizzly Peak; Brushy Butte and Tamarack Mountain. The trail's journey through this challenging terrain offers stunning panoramic views and a true wilderness experience. This segment of the trail is characterized by steep climbs and descents testing the endurance of hikers as they navigate through the varied elevations. The landscape is dotted with dense forests and occasional clearings providing opportunities for scenic vistas and wildlife observation., 83.2 km, Segment 28/50, Images/Segment28.jpg, You'll walk in Shasta-Trinity National Forrest and Lassen National Forrest. If the water level is high You need to cross several small creeks and streams
29,-118.1873901,35.9816611,-118.1009325,34.57321779,Northern California ,Mount Shasta is a potentially active stratovolcano 1093 meter above sealevel,-122.1142,41.2433, You'll walk through Castle Crags Wilderness and Castle Crags State Park. You will cross Burstarse Creek; Indidan Creek and Popcorn Spring during the trail. Between the prominent mountains and along the trail the main waterway crossed is the Sacramento River. The trail typically crosses this significant river near the town of Dunsmuir which is located just in the east of this segment., 83.2 km, Segment 29/50, Images/Segment29.jpg, You'll walk through Castle Crags Wilderness and Castle Crags State Park. You will cross Burstarse Creek; Indidan Creek and Popcorn Spring during the trail
30,-118.1009325,34.57321779,-121.1902964,40.3041705, Northern California through Russian Wilderness ,Eagle Peak is the highest of the Three Brothers- a rock formation above Yosemite Valley in California.,-120.1997,41.2835, You will be able to see several peaks on this parth including: Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak and Mount Eddy. The Shasta–Trinity National Forest is a federally designated forest  It is the largest National Forest in California and is managed by the U.S. Forest Service. The trail navigates through diverse ecosystems including dense alpine forests and high mountain meadows that bloom with wildflowers in the summer., 83.2 km, Segment 30/50, Images/Segment30.jpg, You will be able to see several peaks on this parth including: Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak and Mount Eddy
31,-121.1902964,40.3041705,-121.3046789,41.5344634, Northern California through Klamath National Forest, Big Ridge with the elevation of 2141meters is one of the 18 peaks you climb during PCT,-123.233783,41.660206, You will walk in Klamath National forest and Marble Mountain Wilderness. venture through the expansive and rugged terrains of the Klamath National Forest and the Marble Mountain Wilderness. This area is known for its vast wilderness and dramatic landscapes., 83.2 km, Segment 31/50, Images/Segment31.jpg, You will walk in Klamath National forres and Marble Mountain Wilderness. You climpe Big Ridge with the elevation of 2141meters
32,-121.3046789,41.5344634,-120.9103089,41.42840721, Northern California & Oregon through Seaid Wally ,Kangaroo Mountain is a low mountain in the Klamath Mountains and is 2041 meter high,-122.63557,41.3303, On this stretch you will pass through Seaid Wally and up over Kangaroo Mountain; Black Mountain and Observation Peak among others. A stretch with many meters of elevation gain  offering hikers varied elevations and demanding ascents that reward with breathtaking views.The trail winds through the remote areas nestled between these mountains providing an immersive wilderness experience. Hikers will traverse diverse landscapes from dense forests to rocky outcrops enhancing the trek with a mix of natural beauty and solitude.Seiad Valley offers a notable checkpoint for resupply or rest positioned along the Klamath River adding a picturesque and practical aspect to this section of the trail., 83.2 km, Segment 32/50, Images/Segment32.jpg, On this stretch you will pass through Seaid Wally and up over Kangaroo Mountain; Black Mountain and Observation Peak among others. A stretch with many meters of elevation gain
33,-120.9103089,41.42840721,-121.0452843,40.01036975, Oregon through Cascade-Siskiyou National Monument ,Pilot Rock is nameb beacuse the pilots of '49ers used the mountain as a landmarkt between the California gold fields and the settlements in Oregon's Willamette Valley ,-122.5609,42.0306, You are in the souther part of Oregon here and you pass between bouth Peak and lakes. You walk in Cascade-Siskiyou National Monument It takes 46134 ha of forrest and grassland. Native Americans are known from archaeological excavations to have inhabited the region for thousands of years. By the 1880s their lands were taken by white settlers whose mining cabins still dot the region. Natural features in the monument include Pilot Rock a volcanic neck or interior of an extinct volcano.,83.2 km, Segment 33/50, Images/Segment33.jpg, During this par of the trail You'll cross the border between California and Oregon
34,-121.0452843,40.01036975,-121.0415434,43.73876335, Oregon through Upper Klamath National Wildlife Refuge, Mount McLoughlin is the sixth highest Cascade peak in Oregon,-122.315881,42.444515, You will walk in The Sky Lakes Wilderness straddles southern Oregon's Cascade Range from Crater Lake National Park southward to Oregon Route 140. It is approximately 9.7 kmwide and 43 km long. Thelevations ranging from 1.200 m in the canyon of the Middle Fork of the Rogue River to 2.894 m at the top of Mount McLoughlin is the highest peak in southern Oregon, 83.2 km, Segment 34/50, Images/Segment34.jpg, You will walk in The Sky Lakes Wilderness straddles southern Oregon's Cascade Range from Crater Lake National Park southward to Oregon Route 140. It is approximately 9.7 kmwide and 43 km long. Thelevations ranging from 1.200 m in the canyon of the Middle Fork of the Rogue River to 2.894 m at the top of Mount McLoughlin is the highest peak in southern Oregon
35,-121.0415434,43.73876335,-118.1604601,36.32015036, Oregon  through Crater Lake National Park, Crater Lake is deep Water in a Sleeping Volcano,-122.1037,42.9365, You will walk close by Crater Lake that is surrounded by several high points. This including Garfield Peak; Llao Rock and Grouse Hill. You come thrugh Crater Lake National Park. Crater Lake inspires awe. Native Americans witnessed its formation 7700 years ago when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity—fed by rain and snow it’s the deepest lake in the USA and one of the most pristine on Earth. Artists and photographers and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range. The Park was established in 1902 Crater Lake is the fifth-oldest national park in the United States and the only national park in Oregon ,83.2 km, Segment 35/50, Images/Segment35.jpg, You will walk close by Crater Lake that is surrounded by several high points. This including Garfield Peak; Llao Rock and Grouse Hill
36,-118.1604601,36.32015036,-119.5560277,38.22954566, Oregon through Diamond Peak Wilderness ,Cowhorn Mountain the summit spire that led to its name collapsed in a storm in 1911,-122.05,43.4, This part of the trail offers a serene hiking experience characterized by expansive views lush forested areas and the rugged slopes of Diamond Peak itself.On this part You walk in hilly terrain and pass Cowhorn Mountain which is  2336 meters high. This portion of the trail also skirts past several lakes providing ample water sources and scenic resting spots ideal for camping and relaxation, 83.2 km, Segment 36/50, Images/Segment36.jpg, On this part You walk in hilly terrain and pass Cowhorn Mountain which is  2336 meters high
37,-119.5560277,38.22954566,-117.3918106,35.04545113, Oregon in The Three Sisters Wilderness,The Three Sisters are three small maounains they were named in 1886 by George Dawson ,,, In this segment the path takes hikers through Oregon's volcanic landscape passing the iconic Three Sisters volcanoes. This portion offers close-up views of these majestic peaks with North Sister Middle Sister and South Sister each having distinct features. As you hike Middle Sister and South Sister are on one side while The Husband another impressive peak is on the other creating a dramatic skyline. The trail traverses the Three Sisters Wilderness known for its diverse ecosystems and breathtaking scenery including alpine forests lava fields and wildflower meadows. The proximity to these volcanic landmarks offers spectacular views and unique challenges making it a memorable part of the Pacific Crest Trail., 83.2 km, Segment 37/50, Images/Segment37.jpg, In this Segment You will walk through Willamette National Forrest and Deschutes National Forrest and pass several lakes
38,-117.3918106,35.04545113,-120.9097673,47.48759545, Oregon through Mount Washington Wilderness,Mount Jefferson is a vulcano the last eruptive about 15000 years ago.,-121.79958,44.67426, This part of the Pacific Crest Trail traverses the Mount Jefferson Wilderness and the Mount Washington Wilderness in Oregon known for rugged terrain and volcanic features. As you hike through the Mount Jefferson Wilderness you continue south into the Mount Washington Wilderness where Mount Washington a striking volcanic peak with a distinctive spire-like top greets you. This area is less crowded offering solitude and wilderness immersion. The trail features steep rocky ascents and serene forest walks with wildlife viewing and panoramic vistas of the Cascade Range. This section offers a classic Pacific Northwest hiking experience combining physical challenges with awe-inspiring natural beauty. , 83.2 km, Segment 38/50 , Images/Segment38.jpg, On this part of the trail You walk past tree vulcanos that is caled The Tree Sisters. When You have Middel Sister and South sister on one side You will have the moutan The husband on the other side of you
39,-120.9097673,47.48759545,-118.7608857,37.25303127,Oregon through Mount Jefferson Wilderness,Olallie Butte is a steep-sided shield volcano with 2200 meter above sealevel,-121.7625,44.8208, the trail winds through a portion of Oregon characterized by a series of notable buttes and the expansive Clackamas Wilderness.This area offers a distinctly varied landscape that includes Olallie Butte a prominent volcanic cone and the beautiful remote expanse surrounding Mount Jefferson. As hikers progress southward they pass close to Olallie Butte which stands as a sentinel overlooking numerous lakes and dense forested areas. The trail provides opportunities for breathtaking views of the Cascade Range including the towering Mount Jefferson. The region is known for its rugged terrain and numerous water sources making it a picturesque yet challenging hike. The trail also skirts the western edge of the Clackamas Wilderness an area known for its old-growth forests and biodiversity., 83.2 km, Segment 39/50, Images/Segment39.jpg, On this part of the trial You will wlak in the National Park of Mount Hood
